issue,issue_link,topic,confidence_score
"Adding new section ""Help"" on GO
This is a requirement for YU to scope and provide a light recommendation to implement to support users.


",https://api.github.com/repos/IFRCGo/go-web-app/issues/715,0,"[0.28222986 0.01899756 0.01697486 0.01907673 0.03138757 0.02249393
 0.02003256 0.03058607 0.02241576 0.02788155 0.0227727  0.02764415
 0.0219868  0.02146977 0.02623854 0.02720048 0.02664607 0.02368154
 0.0309513  0.01976169 0.0242225  0.02774572 0.02127612 0.02555898
 0.02088675 0.02415587]"
"3w - Integrate FDRS data disaggregation on 3w population figures
**Is your feature request related to a problem? Please describe.**
Currently, GO 3w allows National Societies to submit population figures within a 3w project, either for people targeted or people reached. Disaggregation figures available in GO are basic: Male, Female, and Other. 
One of the recommendations provided by Geneva FDRS team, was to align the disaggregation approach with FDRS platform. National Societies report in FDRS on an annual basis, following special disaggregation principles and guidelines, particularly when reporting population figures. 
GO 3w to be aligned with FDRS in regards disaggregation in population figures, allowing National Societies to report on a single structure in both platforms, and avoiding extra steps and time with additional calculations.

**Describe the solution you'd like**
To agree on additional data points needed to align with FDRS population figures, and include them in GO 3w.
To revise current data points (People Targeted - Male, People Targeted - Female, People Targeted - Other, People Reached - Male, People Reached - Female, People Reached - Other) and integrate FDRS population figures in gender, disabilities, and age groups (if applicable).

**Describe alternatives you've considered**
*A clear and concise description of any alternative solutions or features you've considered.*

**Additional context**
Potential changes in data structure in regards population figures. It may need to expand/add age groups, population with disabilities, and gender disaggregation. This may affect current data points, and will need to modify current 3w records/submissions.

**Where does the data come from and how is it maintained?**
3w data comes from National Societies, Partner National Societies and IFRC sectoral leads. It is maintained by themselves.

**Should there be any restrictions around viewing or updating information related to this feature**
*any considerations around permissions e.g. public vs only logged-in RCRC users should be able to see this*

**Links to documentation**
FDRS videos that show data disaggregation: https://www.youtube.com/playlist?list=PLf2g_NkFyyv6_tXhWfA71vHfW7ZS8LFpz

[EN FDRS User Guide 2020  (3).pdf](https://github.com/IFRCGo/go-frontend/files/6925456/EN.FDRS.User.Guide.2020.3.pdf)
[Technical Note On Counting People Reached.pdf](https://github.com/IFRCGo/go-frontend/files/6925458/Technical.Note.On.Counting.People.Reached.pdf)
",https://api.github.com/repos/IFRCGo/go-web-app/issues/849,6,"[0.00674834 0.01245915 0.01457378 0.0077067  0.01005948 0.04820869
 0.14306258 0.01329916 0.014694   0.01249821 0.01987357 0.02041535
 0.05197926 0.01028827 0.01038919 0.02103439 0.01171907 0.01597977
 0.01137273 0.00827901 0.01162903 0.01117473 0.04451708 0.01647428
 0.07555862 0.01299667]"
"Add linkage to information about IFRC event leveling (i.e. Crisis Categorisation)
**Is your feature request related to a problem? Please describe.**
Feature request to add contextual information to the disaster categorization field.

**Describe the solution you'd like**
I've spoken to users that are confused about the ""Disaster Categorization"" field under Emergency Overview on emergency pages. I think either converting that label to a link, or having help text icon (accessible via hover) that provides access to guidance on the definitions and implications of each color code would be helpful. 

**Additional context**
![Screen Shot 2021-09-01 at 6 11 11 PM](https://user-images.githubusercontent.com/8890661/131752100-fcdd0431-e0e9-448a-b31f-6ba91ccfabd8.png)

These two documents capture the information I'd like to have accessible:
[IFRC Global Tools Review Final Report.pdf](https://github.com/IFRCGo/go-frontend/files/7094653/IFRC.Global.Tools.Review.Final.Report.pdf)
[IFRC Leading Emergency Assessment and Planning.pdf](https://github.com/IFRCGo/go-frontend/files/7094654/IFRC.Leading.Emergency.Assessment.and.Planning.pdf)

On the “IFRC Global Tools Review Final Report English” doc, check page 7. On “IFRC LEAP approach Sept. 2018”, check page 33.

**Should there be any restrictions around viewing or updating information related to this feature**
No
",https://api.github.com/repos/IFRCGo/go-web-app/issues/684,17,"[2.23969655e-308 8.88025020e-308 6.07798648e-308 4.49757793e-308
 5.62042940e-308 7.88605776e-308 5.52453920e-308 1.27048611e-307
 1.58505922e-307 1.25243532e-307 1.55606196e-307 1.31203818e-307
 6.76209541e-308 7.96412316e-308 5.61991808e-308 9.98700528e-308
 7.19813193e-308 1.00000000e+000 7.34253943e-308 5.13284989e-308
 1.01606697e-307 1.05631465e-307 8.52577077e-308 2.47253734e-307
 6.53171185e-308 1.75551815e-307]"
"Remove all unbounded API calls from frontend
There are still a few places on the frontend where we make unbounded API calls (i.e. where we set the `limit` parameter to the API to a really high number to ensure we fetch ""all"" results"") instead of paginating through API responses and fetching a sane amount, say 100, elements at a time.

This is a blocker to us removing support for high `limit` values on the API - ideally, we would lock-down the API to not allow more than, say, 200 items in a single request. 

We need to:

 - [ ] Identify all places in the frontend code where we make unbounded calls
 - [ ] Look for ways to change the logic to not need an unbounded call
 - [ ] For cases where we do need to fetch ""all"" items, implement request pagination on the frontend, similar to how we are handling CSV downloads on the frontend now.
 - [ ] Once the above is done, give warning to all API users, and then implement a `limit` restriction on the API.

I can start enumerating places where we are making unbounded calls on the frontend.

cc @frozenhelium @tovari @szabozoltan69 ",https://api.github.com/repos/IFRCGo/go-web-app/issues/520,5,"[2.09124982e-308 4.14449921e-308 4.38329354e-308 2.48293646e-308
 3.29955665e-308 1.00000000e+000 1.44049964e-307 5.22808621e-308
 5.59669769e-308 4.70589898e-308 8.05862225e-308 9.25629552e-308
 2.10666927e-307 3.41669783e-308 3.35041877e-308 8.33591635e-308
 3.87500288e-308 6.26724857e-308 3.84588004e-308 2.68430297e-308
 3.94504769e-308 4.10561225e-308 3.24919691e-307 6.76767316e-308
 2.18721294e-307 4.82899316e-308]"
"Kosovo label on the map
We need to display 'Kosovo' on the map and also add a specific disclaimer.

The typography should be somewhat lighter than the normal country names (e.g. font light version, or grey)
![image](https://github.com/IFRCGo/go-frontend/assets/68283148/a111c27c-5303-42b7-b7bb-77646dfaedd6)

The map disclaimer text:
_The name and boundaries of Kosovo are consistent with [UN Security Council Resolution 1244](https://documents-dds-ny.un.org/doc/UNDOC/GEN/N99/172/89/PDF/N9917289.pdf?OpenElement) and the [ICJ's Advisory Opinion on the Unilateral Declaration of Independence in Respect of Kosovo](https://www.icj-cij.org/public/files/case-related/141/141-20100722-ADV-01-00-EN.pdf)._

@frozenhelium, What are the display options for disclaimers? Can we show based on map view, zoom scale? Can we specify text in the disclaimer box based on the page url (e.g. showing it only on the map on the Serbia page)?",https://api.github.com/repos/IFRCGo/go-web-app/issues/1036,9,"[0.00780204 0.01943135 0.01246115 0.01305674 0.01599248 0.01586089
 0.01203753 0.07207322 0.04116932 0.22606169 0.03108215 0.03050159
 0.01356338 0.02287515 0.01420846 0.019187   0.01726494 0.03591081
 0.02011703 0.01481386 0.02425277 0.14007875 0.01621204 0.04010374
 0.01379296 0.07754061]"
"[PROD] User content translation issues
We have noticed a few weird cases after the first few FRs got translated:

- [ ] IFRCGo/go-web-app#531
- [x] the styling codes may appear not only in Arabic, but in other languages as well. In this example https://go.ifrc.org/emergencies/6542#surge , the code is not displayed in the input language (French), but appears in the 3 other languages. 
- [x] part of the text may not be translated (https://go.ifrc.org/emergencies/6542#surge): 
The French input:
![image](https://github.com/IFRCGo/go-frontend/assets/68283148/a801c8cf-3f4f-4ad7-9d94-adf619303374)
The English translation contains some French (however the same text is translated in other places of the text):
![image](https://github.com/IFRCGo/go-frontend/assets/68283148/fa2f61be-3d3d-4aaa-b5ab-96bf6ff6eb76)
The Spanish translation even contains English translations weirdly, besides the not translated French strings:
![image](https://github.com/IFRCGo/go-frontend/assets/68283148/d5fecd48-4b00-41f2-bf11-0a11eea747e2)

- [ ] IFRCGo/go-web-app#529
- [ ] IFRCGo/go-web-app#530

### Tasks
- [x] IFRCGo/go-frontend#2890
- [x] IFRCGo/go-frontend#2891
- [x] IFRCGo/go-frontend#2892
- [x] IFRCGo/go-frontend#2900",https://api.github.com/repos/IFRCGo/go-web-app/issues/525,8,"[2.13514928e-308 9.03861235e-308 5.42981332e-308 3.73372853e-308
 3.79327582e-308 5.89675670e-308 4.45658649e-308 9.69879760e-308
 1.00000000e+000 1.43430375e-307 1.66648046e-307 8.81683172e-308
 4.70153995e-308 6.61483544e-308 3.66948074e-308 5.52989283e-308
 4.37560536e-308 1.76774481e-307 4.55152056e-308 4.20871974e-308
 6.09074525e-308 1.08212961e-307 6.57647141e-308 2.02670488e-307
 5.27056155e-308 2.90160329e-307]"
"[PROD] Login Error Message Is Not Accurate
## Issue
Users receive the 'Invalid username or password' error, even when their account is not active. 

## Steps to reproduce
You need two GO user accounts (A1 and A2), and their passwords. One of the accounts should have admin permission (A1).
1. Login to the goadmin page with the account A1, go to the users section, search the user account A2, and uncheck the 'Active' box
2. Login to the go page with the account A2, and try to login with its credentials
3. You will receive the 'Invalid username or password'*

## Expected behaviour
Display to the user a message saying ""Your account is deactivated, contact the IM team at im@ifrc.org for more information.""

## Impact
 We usually receive more than one message per week, of users trying multiple times to reset their passwords not successfully.

## Severity
They can not log in to GO.

## Is there a workaround?
They contact im@ifrc.org
",https://api.github.com/repos/IFRCGo/go-web-app/issues/855,1,"[1.83453128e-308 1.00000000e+000 8.68351485e-308 4.84332420e-308
 3.43354558e-308 4.14388615e-308 3.52375818e-308 4.93746062e-308
 9.05924083e-308 6.25251248e-308 8.08049069e-308 4.76203410e-308
 3.72995135e-308 1.25200583e-307 3.63096402e-308 4.27756131e-308
 4.25270503e-308 8.98304475e-308 4.14878596e-308 5.67750781e-308
 7.75084630e-308 5.60113197e-308 4.71153117e-308 6.99162465e-308
 3.94629986e-308 9.63372058e-308]"
"[PROD] Search result page - Ongoing Rapid response deployments section
The search results page shows NOT ongoing deployments under the 'Ongoing rapid response deployments':

![image](https://github.com/IFRCGo/go-frontend/assets/68283148/eacaad42-af72-49bb-862b-8f42ad01744d)

There is an 'Ongoing' attribute of the deployments that should be used to filter deployments in this list.

Similarly 'Open Surge Alerts' section should not how archived alerts:

![image](https://github.com/IFRCGo/go-frontend/assets/68283148/9677c324-a2d2-4a2f-b748-4d07e14e70b4)


",https://api.github.com/repos/IFRCGo/go-web-app/issues/633,9,"[0.00687841 0.02146747 0.01301402 0.01232277 0.01348603 0.01562866
 0.01189165 0.04896369 0.06174369 0.15082102 0.03400788 0.02806114
 0.01305197 0.02198655 0.01236046 0.01699504 0.01482297 0.04133593
 0.0164379  0.01396381 0.02098983 0.08269821 0.01639061 0.04530507
 0.01372752 0.21885519]"
"Show multi-country/regional appeals on country pages
**Is your feature request related to a problem? Please describe.**
Multiple Heads of Delegations told they want to see multi-country/regional appeals on country pages. E.g. South Sudan is part of the [Africa Hunger Crisis](https://go.ifrc.org/emergencies/6008) appeal, but the South Sudan [country page](https://go.ifrc.org/countries/290/operations) doesn't show any active appeals, which is confusing to users. At the moment, users have to look at both the country page and the region's page to figure out if a given NS has any active appeals ongoing.

**Describe the solution you'd like**
All multi-country/regional appeals should also appear on country pages that are part of those appeals (in addition to Regions' pages). Also, Luke confirmed this would be the preferred behaviour.",https://api.github.com/repos/IFRCGo/go-web-app/issues/851,6,"[0.00608833 0.0118046  0.01340767 0.00695075 0.00892084 0.04750984
 0.29946582 0.01262461 0.01450788 0.01207701 0.02030642 0.02026001
 0.03719441 0.00950469 0.00913427 0.01867792 0.01039796 0.01521231
 0.01016776 0.00749721 0.0106059  0.01064242 0.05051523 0.01652776
 0.13768304 0.0125412 ]"
"Design audit items
This is a list of items to be improved, reported in the staging audit by YU:
https://docs.google.com/document/d/1lwOeYkeOasYQlrILpS51KNoQivdX43Qr1VHvDo7Bd0c/edit#heading=h.3wreak3fwz2d

Please check the document for more detail about each item.

High priority:
- [ ] #351 
- [ ] #385
- [ ] #386

Medium priority:
- [ ] #387
- [ ] #388
- [ ] #389
- [ ] #390
- [ ] Main nav items - distance of items - Main nav
- [ ] Main nav- search bar styling - Main nav
- [ ] Nav item hovers and interactions - Main nav
- [ ] Country dropdown style - Main nav
- [ ] Dropdown height - Main nav
- [ ] Cards: styling - Components
- [ ] Tabs: styling - Components
- [ ] Dropdown: styling - Components
- [ ] Tables: sorting icon styling - Components
- [ ] External links: styling (country pages) - Componets
- [ ] Tooltip: interaction - Components
- [ ] Highlighted emergency cards: style - Components
- [ ] Key numbers: style - Components
- [ ] Section headers: style - Components

Low priority
- [ ] Map data points - crisis categorisation - Homepage
- [ ] Map Legends: styling - Components
- [ ] Filters: styling - Components
- [ ] Primary button: styling - Components
- [ ] Secondary button: styling - Components
- [ ] Pagination: styling - Components
- [ ] Breadcrumbs: styling - Components
- [ ] Checkbox: styling - Components
- [ ] Map: style - Components
- [ ] Side menu: style - Components
- [ ] Info cards on “Surge”: style - Component
- [ ] Side panel by the map: style - Component
- [ ] Data is not available! - Component
- [ ] Popup: style - Component

cc: @mariam-yu ",https://api.github.com/repos/IFRCGo/go-web-app/issues/319,18,"[2.88961750e-308 4.29147292e-308 3.37005190e-308 4.38843203e-308
 2.60140376e-307 4.30319383e-308 3.50542039e-308 7.53117851e-308
 4.82497411e-308 6.24818618e-308 4.98641646e-308 6.14296445e-308
 4.34630388e-308 5.57607829e-308 1.61908305e-307 8.36518363e-308
 2.27802128e-307 6.76763794e-308 1.00000000e+000 4.81277526e-308
 9.61717685e-308 6.28950173e-308 4.20507693e-308 5.56719975e-308
 3.79342495e-308 5.47543896e-308]"
